mag_u    mag_g    mag_r    mag_i    mag_z    sep    DLR    zphoto    age    logSFR    
  22.654      22.242      21.439      21.200      20.578      1.58      2.77       0.3699       3.43      -10.12
  20.863      19.378      17.839      17.353      17.074      4.63      2.82       0.2793       3.63      -11.31
  22.645      23.497      23.874      21.941      22.420      5.91      3.68       0.4153       4.58      -10.32
  21.178      19.961      18.994      18.576      18.197      1.98      1.59       0.2381       3.64      -10.14
  21.739      20.440      19.835      19.587      19.587      4.35      2.74       0.1117       4.95      -10.35
  21.925      20.713      19.890      19.564      19.841      1.20      0.86       0.2449       3.43      -10.14
  24.517      23.216      21.505      20.972      20.746      0.79      1.58       0.4066       4.66      -11.39
  23.540      22.001      21.214      21.028      20.596      1.84      1.47       0.2913       3.17      -10.09
  23.145      21.242      20.045      19.594      19.303      0.23      0.25       0.1863       7.04      -13.35
  22.470      20.295      18.833      18.245      17.972      2.38      2.76       0.2678       7.09      -16.04
  20.381      19.383      18.458      17.958      17.679      1.61      1.68       0.2226       5.14      -10.29
  19.599      18.588      18.248      17.967      18.062      7.59      9.47       0.0718       3.17      -10.10
  21.223      20.218      19.704      19.489      19.425      0.90      0.71       0.0877       3.37      -10.13
  21.361      19.130      18.055      17.646      17.350      7.73      6.10       0.1491       8.68      -17.08
  17.255      15.312      14.443      14.035      13.741     34.00      8.65       0.0661       7.11      -16.50
  20.493      19.624      19.336      19.153      19.181      0.34      0.40       0.0544       3.21      -10.11
  19.113      17.503      16.753      16.335      16.016     13.80      5.47       0.0570       5.00      -10.33
  24.674      23.054      22.206      22.547      21.996      0.62      1.61       0.2284       5.17      -10.33
  20.246      18.055      17.057      16.628      16.343      4.16      1.25       0.1324       7.55      -14.28
  20.997      20.021      19.318      18.987      18.759      0.17      0.18       0.1813       4.92      -10.30
  21.166      19.677      18.663      18.186      17.886      0.66      0.96       0.1794       6.10      -10.69
  19.043      17.146      16.212      15.781      15.447      6.22      3.03       0.0882       8.32      -16.25
  21.234      19.200      18.303      17.777      17.445      3.46      4.23       0.1013       5.43      -10.34
  20.256      19.402      18.938      18.590      18.522      0.38      0.38       0.1501       6.91      -10.40
  18.134      16.868      16.355      16.038      15.857      9.71      3.51       0.0694       5.24      -10.33
  22.244      21.467      20.965      20.845      20.746      0.43      0.58       0.1659       3.00      -10.07
  18.630      17.438      16.796      16.431      16.202      5.53      2.50       0.1160       5.35      -10.34
  21.518      19.807      18.827      18.403      18.175      3.58      3.56       0.1620       6.54      -11.56
  21.442      19.111      17.897      17.397      17.030      5.02      2.87       0.1780       6.67      -12.75
  19.125      17.747      17.030      16.633      16.450     10.93      4.71       0.1191       5.18      -10.33
  21.500      20.364      19.748      19.401      19.200      0.73      0.92       0.1110       4.44      -10.25
  22.925      22.947      22.546      22.858      21.559      0.03      0.05       0.4973       3.40      -10.12
  23.382      22.035      21.489      21.891      21.193      0.30      0.35       0.1023       2.76      -10.04
  19.680      18.553      17.938      17.633      17.496      2.62      1.12       0.1307       4.83      -10.31
  17.261      15.406      14.518      14.195      13.765     36.12      7.90       0.0755       8.19      -14.83
  23.342      22.716      20.784      20.208      19.839      0.92      1.23       0.3625       5.72      -13.21
  22.129      20.891      19.873      19.380      18.905      2.90      6.46       0.1942       4.33      -10.20
  21.199      19.975      19.416      18.965      18.892      2.89      5.08       0.1011       4.78      -10.32
  19.558      18.213      17.504      17.108      16.861      0.83      0.75       0.1100       4.12      -10.21
  19.190      17.760      16.935      16.506      16.200      2.80      1.52       0.1246       5.26      -10.33
  20.415      19.237      19.043      18.842      18.763      0.58      0.33       0.0502       3.33      -10.12
  18.922      17.889      17.465      17.258      17.265      8.44      1.63       0.0604       5.52      -10.36
  20.479      18.999      17.971      17.474      17.104      2.85      2.76       0.1724       5.73      -10.41
  22.976      22.742      21.808      21.925      22.000      0.36      0.60       0.3283       3.10      -10.09
