groupz    galz    R200    Sigma    Lgroup    Nmemb    Mgroup    DeltaLSS    dR200    MassBest    nI    nB    gReI    gReB    diskhI-tot    diskhB-tot    bulgeRe-I    bulgeRe-B    diskInc-I    diskInc-B    SFRBest    sSFRBest    B-I    Jmag    Hmag    Kmag    BulgeMass    DiskMass    FUV-NUV    umag    gmag    rmag    imag    zmag    
0.05157     0.05073     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.000     1.4700e+11       5.03       3.77       8.686       6.796     NA    NA    NA    NA    NA    NA     0.0053     .6095e-14       1.473     13.426     13.001     13.314     NA    NA     2.282     NA    NA    NA    NA    NA    
0.05157     0.05124     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.430     4.7700e+09       1.07       0.92       3.239       3.155       1.874       1.933     NA    NA    NA    NA     0.0943     .9773e-11       1.094     16.492     16.223     16.682     NA    NA     0.776     NA    NA    NA    NA    NA    
0.05157     0.05151     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.771     2.1400e+09       1.90       1.08       4.993       4.061     NA    NA      4.441       0.481      36.134      39.594      0.0750     .5024e-11       0.919     17.658     16.415     NA    .0176e+09      .5367e+08       0.130     NA    NA    NA    NA    NA    
0.05157     0.05135     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.724     1.2000e+09       1.91       1.73       3.396       3.196     NA    NA      2.732       1.713      50.783      51.395      1.3216     .1013e-09       0.660     17.016     15.730     16.702     .6617e+08      .4368e+08       0.366     NA    NA    NA    NA    NA    
0.05157     0.05040     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     0.845     1.6100e+09       1.02       1.10       1.904       1.906       1.143       1.122       1.602       0.183      43.160      41.922      0.1187     .3720e-11       0.905     18.026     NA    17.170     .8554e+08      .2166e+09       0.378     NA    NA    NA    NA    NA    
0.05157     0.05096     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     1.056     3.3600e+09       1.26       0.72       6.345       5.700       3.405       3.741       3.441       4.324      50.574      45.067      0.3609     .0742e-10       0.887     NA    15.795     16.093     NA    .7135e+09       0.263     NA    NA    NA    NA    NA    
0.05157     0.05185     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     1.370     4.0400e+10       3.74       3.97       7.014       9.687     NA    NA      1.335       2.021      68.696      71.543      2.2694     .6173e-11       1.273     14.381     13.861     14.039     .1354e+10      .2563e+10       0.622     NA    NA    NA    NA    NA    
0.05157     0.05194     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     1.311     5.9200e+09       1.32       1.15       5.441       6.413     NA    NA      3.765       2.875      53.566      53.566      6.5238     .1020e-09       0.740     15.659     15.104     15.482     .2350e+09      .5024e+09       0.416     NA    NA    NA    NA    NA    
0.05157     0.05034     0.840     301.9     2.6531e+11      23     7.0700e+13      0.918     1.975     2.0989e+09     NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    NA    
0.05122     0.05082     0.236     132.0     2.3776e+10       6     1.5643e+12     -0.377     1.188     8.4800e+09       1.21       1.05       2.914       3.468       1.650       2.037       0.937     NA     72.577     NA     0.0830     .7897e-12       1.501     16.147     15.742     15.788     NA    NA    NA    NA    NA    NA    NA    NA    
